komentar
Wah... Mantabbssss nihhh....
nama ponpesnya apa ya
Sumatra lagi parah. Hukuman mati pantas 40 korban gak ngotak
Santri apa santriwati ?
"Tolong di selidiki juga kasus semoga cepet ada yg menangani di cianjur ada pengurus yayasan pondok yang melecehkan santriwati,saya korban tipu juga melihat kejadian pelecehan dgn mata kepala sendiri"
"kalau bisa jgn hny di kebiri ,sekalian ganti aja kelaminya ,anjayy"
"biasanya yg jadi korban ,kedepanya akn menjadi penerus baru , berarti gay semakin menjamur"
"mgkin pikir mereka cewek dg cowok hny beda lobang , tapi rasanya sama aja ,anjayy"
"buset sumatra. pernah liat komen orang sumatra menghina jawa ketika ada kasus gituan, 😂"
"Selkarangbisa ditanya kbn tsb berapa kali msg2 kbn melakukannya kalau lbh dari satukali aja msh mau melayani bkn karena ancaman lagi ya adanya sama2 suka Dua guru kbn 40 wah jago banget mmg tdk ada guru Perempuan dari sekian biar tdk ada loporan mmg tdk ada tkh yg mencurigakan ulah santriwati ada yg kesakitan sungguh sgt memalukan PP seluruh Ind.dan para guru2 khususnya Guru Agama maaf saya mmg cuman bisa komen tapi saya ckp lama mengajar 16 Thn.<br>yg siswi2nya ada di PP srg saya sampaikan <br>&quot; biarpun seorg guru/Gus/ bahkan Kiyaipun &quot;<br>yg cewek jgn mau diajak omong2 yg tptnya mencurigakan dst.<br>keb.saya g.Akidah A,  dan Petugas UKS mhn  maaf 020924/CNN"
bubarkan pesantren trb..jadi sarang predator Anak didik
Bagai mana orang mu percaya guru dan pengajar sekarang bnyk yg bejat
Kreeenn 😁
Enak ya pantat ?
Gila keenakan x ya kok nyampe 4o orang
Enak bngt pasti msuk pantat
Memang Islam itu indah😂😂😂
Ustadz pemborong lubang anak
Enak si
Percuma di beritakan bikin sakit hati aja krn hukum di indonesia bahan tertawaan aja di negara tetangga
Emang padang ada orang NU nya 😅
Apa masih mau menempatkan anaknya di tempat pesantren😅
Agam itu di mana ya 😅😅😅
Dibodohi agama di era modern seperti skrg ini wakakakakak...
Para pelaku ini adalah manusia2 yg tidak pernah diajari MORAL sejak lahirnya.
Ini yg seharusnya di demo berjilid oleh ormas-ormas 😢
